Ticker,BusinessDate,TimeBucket,Open,High,Low,Close,Volume
AUDUSD,20180430,17:00,0.75462,0.75467,0.75328,0.7538,6356450000
EURUSD,20180430,17:00,1.21001,1.21017,1.20824,1.20858,12082190000
GBPUSD,20180430,17:00,1.37648,1.37677,1.37514,1.3763,4894180000
NZDUSD,20180430,17:00,0.70511,0.70516,0.7037,0.70411,4356110000
USDCHF,20180430,17:00,0.98945,0.99068,0.98924,0.99012,5308640000
USDJPY,20180430,17:00,109.121,109.275,109.105,109.242,5541920000
AUDUSD,20180430,18:00,0.75383,0.75394,0.7529,0.75296,4216920000
EURUSD,20180430,18:00,1.20859,1.20952,1.20797,1.20805,10249240000
GBPUSD,20180430,18:00,1.37629,1.37662,1.37445,1.37459,3492010000
NZDUSD,20180430,18:00,0.70413,0.70423,0.70372,0.70374,2538670000
USDCHF,20180430,18:00,0.99012,0.99088,0.98937,0.9908,4554380000
USDJPY,20180430,18:00,109.241,109.298,109.163,109.291,5291329999
AUDUSD,20180430,19:00,0.75296,0.75306,0.75249,0.75269,3349810000
EURUSD,20180430,19:00,1.208,1.20839,1.20725,1.20762,8748360000
GBPUSD,20180430,19:00,1.37451,1.37675,1.37451,1.37659,2862160000
NZDUSD,20180430,19:00,0.7037,0.70384,0.70332,0.70347,797820000
USDCHF,20180430,19:00,0.99081,0.99134,0.99035,0.99093,2713230000
USDJPY,20180430,19:00,109.291,109.369,109.27,109.317,3727610000
AUDUSD,20180430,20:00,0.75745,0.75746,0.75595,0.75609,3699290000
AUDUSD,20180430,20:00,0.7527,0.75307,0.7527,0.75277,1702300000
EURUSD,20180430,20:00,1.20766,1.2082,1.20753,1.20777,3525050000
GBPUSD,20180430,20:00,1.37787,1.37833,1.3772,1.37765,2131590001
GBPUSD,20180430,20:00,1.37663,1.37681,1.3755,1.3755,2289250000
NZDUSD,20180430,20:00,0.70788,0.70795,0.7062,0.70634,1830420000
EURUSD,20180420,0:00,1.2343,1.23487,1.23391,1.23472,6760300000
