<TICKER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
USDJPY,20180423,10:00,108.199,108.279,108.169,108.219,4287430000
USDJPY,20180423,11:00,108.22,108.279,108.169,108.17,3327360000
USDJPY,20180423,12:00,108.171,108.258,108.125,108.212,5973500001
USDJPY,20180423,13:00,108.212,108.383,108.176,108.375,7882379998
USDJPY,20180423,14:00,108.378,108.489,108.366,108.444,8659730001
USDJPY,20180423,15:00,108.443,108.634,108.427,108.627,8102590002
USDJPY,20180423,16:00,108.626,108.713,108.566,108.648,5755949999
USDJPY,20180423,17:00,108.648,108.734,108.63,108.716,3821840000
USDJPY,20180423,18:00,108.715,108.718,108.552,108.647,5739039999
USDJPY,20180423,19:00,108.645,108.753,108.632,108.726,4197160000
USDJPY,20180423,20:00,108.729,108.748,108.676,108.701,1852020000
USDJPY,20180423,21:00,108.699,108.715,108.682,108.71,3689620000
USDJPY,20180423,22:00,108.71,108.735,108.67,108.672,1426150000
USDJPY,20180423,23:00,108.672,108.789,108.672,108.772,2463530000
USDJPY,20180424,0:0,108.772,108.804,108.734,108.75,6553110005
USDJPY,20180424,10:00,108.753,108.869,108.706,108.811,7279000001
USDJPY,20180424,20:00,108.811,108.832,108.693,108.751,5323190000
USDJPY,20180424,3:00,108.751,108.831,108.742,108.769,3791839999
USDJPY,20180424,4:00,108.769,108.832,108.769,108.812,2969670000
USDJPY,20180424,5:00,108.811,108.811,108.754,108.796,3652180000
USDJPY,20180424,6:00,108.796,108.863,108.754,108.863,5755619999
USDJPY,20180424,7:00,108.863,108.917,108.836,108.887,7059860005
USDJPY,20180424,8:00,108.886,108.9,108.81,108.82,5808020000
USDJPY,20180424,9:00,108.82,108.862,108.805,108.832,4663240000
USDJPY,20180424,10:00,108.831,108.857,108.774,108.848,4658390000
USDJPY,20180424,11:00,108.849,108.869,108.793,108.797,4590379998
USDJPY,20180424,12:00,108.795,109.066,108.792,108.998,7000889999
USDJPY,20180424,13:00,108.996,109.157,108.939,109.083,11587530000
USDJPY,20180424,14:00,109.082,109.178,109.025,109.171,10357930000
USDJPY,20180424,15:00,109.172,109.199,109.032,109.032,8565400000
USDJPY,20180424,16:00,109.032,109.071,108.711,108.721,10041550000
USDJPY,20180424,17:00,108.72,108.789,108.633,108.643,8480830001
USDJPY,20180424,18:00,108.644,108.678,108.542,108.676,9788530001
USDJPY,20180424,19:00,108.675,108.75,108.655,108.747,7971730000
USDJPY,20180424,20:00,108.745,108.831,108.743,108.813,3635620000
USDJPY,20180424,21:00,108.808,108.827,108.786,108.82,4051110000
USDJPY,20180424,22:00,108.82,108.876,108.816,108.856,1647410000
USDJPY,20180424,23:00,108.856,108.864,108.796,108.802,2207920000
USDJPY,20180425,0:0,108.802,108.963,108.788,108.89,6682210000
USDJPY,20180425,10:00,108.89,109.061,108.871,108.919,8838319998
USDJPY,20180425,20:00,108.919,108.936,108.81,108.897,6028930000
USDJPY,20180425,3:00,108.898,109.018,108.884,109.016,4531150000
USDJPY,20180425,4:00,109.015,109.044,108.972,109.033,4283440001
USDJPY,20180425,5:00,109.033,109.081,108.998,109.063,8158110006
USDJPY,20180425,6:00,109.062,109.17,109.06,109.166,7871180000
USDJPY,20180425,7:00,109.166,109.266,109.136,109.25,5577530000
USDJPY,20180425,8:00,109.25,109.267,109.058,109.088,7983529999
USDJPY,20180425,9:00,109.089,109.104,108.981,109.085,6382350000
USDJPY,20180425,10:00,109.085,109.137,109.046,109.054,4860340000
USDJPY,20180425,11:00,109.053,109.25,109.034,109.22,6757900000
USDJPY,20180425,12:00,109.219,109.254,109.166,109.199,6370630000
USDJPY,20180425,13:00,109.199,109.288,109.055,109.107,9300219998
USDJPY,20180425,14:00,109.106,109.344,109.099,109.306,11887540000
USDJPY,20180425,15:00,109.306,109.382,109.242,109.336,9933429996
USDJPY,20180425,16:00,109.335,109.365,109.234,109.24,8334850001
USDJPY,20180425,17:00,109.239,109.374,109.237,109.363,5926909999
USDJPY,20180425,18:00,109.364,109.375,109.299,109.348,5100640000
USDJPY,20180425,19:00,109.348,109.372,109.306,109.362,6023350000
USDJPY,20180425,20:00,109.365,109.454,109.348,109.421,3291470000
USDJPY,20180425,21:00,109.423,109.423,109.368,109.393,2756760000
USDJPY,20180425,22:00,109.392,109.469,109.392,109.408,2308090000
USDJPY,20180425,23:00,109.409,109.447,109.356,109.374,2571460000
USDJPY,20180426,0:0,109.377,109.433,109.243,109.413,5824929999
USDJPY,20180426,10:00,109.413,109.455,109.29,109.367,5991520000
USDJPY,20180426,20:00,109.365,109.375,109.305,109.367,3726740000
USDJPY,20180426,3:00,109.369,109.374,109.278,109.291,2857640001
USDJPY,20180426,4:00,109.291,109.356,109.291,109.338,1719089999
USDJPY,20180426,5:00,109.336,109.347,109.289,109.325,2800270000
USDJPY,20180426,6:00,109.327,109.395,109.28,109.295,6278560000
USDJPY,20180426,7:00,109.296,109.362,109.243,109.326,8714150000
USDJPY,20180426,8:00,109.325,109.379,109.307,109.355,5422830000
USDJPY,20180426,9:00,109.354,109.383,109.264,109.294,4635080000
USDJPY,20180426,10:00,109.294,109.316,109.174,109.212,5127309985
USDJPY,20180426,11:00,109.212,109.236,109.103,109.18,5715080000
USDJPY,20180426,12:00,109.18,109.263,109.098,109.171,12360429999
USDJPY,20180426,13:00,109.17,109.205,109.066,109.193,9455559999
USDJPY,20180426,14:00,109.191,109.363,109.181,109.363,11837020003
USDJPY,20180426,15:00,109.361,109.396,109.254,109.293,7523260000
USDJPY,20180426,16:00,109.295,109.329,109.192,109.2,5032500001
USDJPY,20180426,17:00,109.201,109.306,109.201,109.296,3585999999
USDJPY,20180426,18:00,109.296,109.405,109.285,109.345,5158750001
USDJPY,20180426,19:00,109.348,109.419,109.316,109.357,4300769999
USDJPY,20180426,20:00,109.357,109.381,109.294,109.294,2695690000
USDJPY,20180426,21:00,109.294,109.343,109.253,109.307,5173540000
USDJPY,20180426,22:00,109.305,109.353,109.302,109.348,1095340000
USDJPY,20180426,23:00,109.347,109.347,109.301,109.302,1124070000
USDJPY,20180427,0:0,109.302,109.325,109.233,109.266,6588519999
USDJPY,20180427,10:00,109.266,109.337,109.152,109.158,6165750002
